item_nbr,N
1229440,3
172995,3
1575235,2
1695836,2
2006144,2
1584301,2
1464239,2
881910,1
1109116,1
1354380,1
1457240,1
1974848,1
2011328,1
903286,1
1457001,1
1464153,1
859966,1
864288,1
951675,1
1255777,1
2045493,1
115693,1
789905,1
1238497,1
1584293,1
1920096,1
1958713,1
564274,1
1392261,1
414354,1
572838,1
682884,1
979197,1
1464008,1
1464910,1
1975558,1
886067,1
1576324,1
257847,1
517615,1
679604,1
1229625,1
1457192,1
1309297,1
686035,1
788708,1
1937039,1
410257,1
1695935,1
211206,1
1089846,1
1463767,1
1230416,1
1463865,1
358561,1
409904,1
459804,1
467808,1
876223,1
1047695,1
1464097,1
1532035,1
1909408,1
250782,1
823245,1
1973587,1
1372563,1
1489694,1
1975512,1
1044592,1
890374,1
208530,1
1246758,1
1260241,1
1463888,1
1963892,1
420720,1
1062927,1
1049595,1
108831,1
859529,1
996537,1
208498,1
1167544,1
1345337,1
1038946,1
1501508,1
581742,1
1464137,1
208514,1
617092,1
1489870,1
169028,1
916886,1
1464094,1
557408,1
655744,1
749720,1
103520,1
633735,1
929893,1
956011,1
1162755,1
1345070,1
1575249,1
122419,1
1369793,1
1398687,1
661582,1
957096,1
1171142,1
1466819,1
1956062,1
268834,1
1121616,1
1472489,1
363049,1
1458847,1
812716,1
885553,1
938576,1
1089046,1
1306199,1
1316461,1
1489662,1
1973454,1
1463555,1
1935388,1
510054,1
