item_nbr,total_sales,family
96995,121,GROCERY I
99197,353,GROCERY I
103501,2629,CLEANING
103520,3394,GROCERY I
103665,3809,BREAD/BAKERY
105574,8803,GROCERY I
105575,13996,GROCERY I
105576,9203,GROCERY I
105577,2893,GROCERY I
105693,2500,GROCERY I
105737,3667,GROCERY I
105857,5321,GROCERY I
106716,7848,GROCERY I
108079,1917,GROCERY I
108634,942,GROCERY I
108696,4741,DELI
108698,3000,DELI
108701,3687,DELI
108786,10513,CLEANING
108797,6503,GROCERY I
108831,13606.512,POULTRY
108833,1636,EGGS
108862,1205,GROCERY I
108952,3953,CLEANING
111223,15254,GROCERY I
111397,8483,GROCERY I
112830,3096,GROCERY I
114778,4337,GROCERY I
114790,16492,GROCERY I
114799,5628,PERSONAL CARE
114800,7406,PERSONAL CARE
115267,8494,CLEANING
115611,20530,GROCERY I
115693,4770,GROCERY I
115720,8516,GROCERY I
115847,404,LINGERIE
115850,13144,GROCERY I
115891,4413,GROCERY I
115892,15143,GROCERY I
115893,13402,GROCERY I
115894,21201,GROCERY I
116017,23057,GROCERY I
116018,9016,GROCERY I
116279,2097,GROCERY I
116311,846,CLEANING
119023,2702,CLEANING
119024,4709,CLEANING
119026,9770,CLEANING
119141,7004,GROCERY I
119187,3474,CLEANING
119191,3084,CLEANING
119193,2472,CLEANING
119624,9143,BEVERAGES
121964,761,AUTOMOTIVE
122095,2529,DAIRY
122418,3437,GROCERY I
122419,2843,GROCERY I
122425,3453,CLEANING
123347,5587,DAIRY
123601,12477,GROCERY I
123602,2540,GROCERY I
123927,894,GROCERY I
125430,7325,GROCERY I
127534,2151,GROCERY I
127547,4513,EGGS
129296,5065,GROCERY I
129297,5510,GROCERY I
129635,13337,DAIRY
129758,5788,GROCERY I
129759,1776,GROCERY I
153078,3082,CLEANING
153239,6007,BREAD/BAKERY
153267,14675,GROCERY I
153395,4401,BREAD/BAKERY
153398,5606,BREAD/BAKERY
155499,3948,GROCERY I
155500,16868,GROCERY I
155600,4713,GROCERY I
155601,2703,GROCERY I
155607,2370,GROCERY I
155610,4198,GROCERY I
155621,2426,GROCERY I
155625,2132,GROCERY I
157956,2503,GROCERY I
158680,4631,EGGS
158788,5913,CLEANING
158789,6693,CLEANING
158842,4230,DAIRY
158875,3851,GROCERY I
158956,8143,CLEANING
159156,31781.0826,POULTRY
159242,5827,CLEANING
161288,2531,GROCERY I
162066,9694,GROCERY I
164036,5607,GROCERY I
164037,4771,GROCERY I
164088,5102,DAIRY
164647,15759,CLEANING
165550,8561,BEVERAGES
165551,7041,BEVERAGES
165553,3939,BEVERAGES
165594,20969,GROCERY I
165693,10630,GROCERY I
165704,13197,GROCERY I
