date;day;description;transferred
2012-01-01;Sunday;New Year's Day;Restricted Holiday
2012-01-05;Thursday;Guru Govind Singh Jayanti;Observance
2012-01-14;Saturday;Pongal;Restricted Holiday
2012-01-15;Sunday;Makar Sankranti;Restricted Holiday
2012-01-23;Monday;Chinese New Year;Observance
2012-01-26;Thursday;Republic Day;Gazetted Holiday
2012-01-28;Saturday;Vasant Panchami;Restricted Holiday
2012-02-05;Sunday;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
2012-02-07;Tuesday;Guru Ravidas Jayanti;Restricted Holiday
2012-02-14;Tuesday;Valentine's Day;Observance
2012-02-16;Thursday;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
2012-02-19;Sunday;Shivaji Jayanti;Restricted Holiday
2012-02-20;Monday;Maha Shivaratri/Shivaratri;Gazetted Holiday
2012-03-07;Wednesday;Holika Dahana;Restricted Holiday
2012-03-08;Thursday;Holi;Gazetted Holiday
2012-03-08;Thursday;Holi;Restricted Holiday
2012-03-20;Tuesday;March Equinox;Season
2012-03-23;Friday;Chaitra Sukhladi;Restricted Holiday
2012-04-01;Sunday;Rama Navami;Gazetted Holiday
2012-04-05;Thursday;Maundy Thursday;Observance, Christian
2012-04-05;Thursday;Mahavir Jayanti;Gazetted Holiday
2012-04-06;Friday;Good Friday;Gazetted Holiday
2012-04-07;Saturday;First day of Passover;Observance
2012-04-08;Sunday;Easter Day;Restricted Holiday
2012-04-13;Friday;Vaisakhi;Restricted Holiday
2012-04-14;Saturday;Mesadi/Vaisakhadi;Restricted Holiday
2012-04-14;Saturday;Ambedkar Jayanti;Observance
2012-05-01;Tuesday;May Day;Observance
2012-05-06;Sunday;Buddha Purnima/Vesak;Gazetted Holiday
2012-05-08;Tuesday;Birthday of Ravindranath;Restricted Holiday
2012-05-13;Sunday;Mother's Day;Observance
2012-06-04;Monday;Hazarat Ali's Birthday;Restricted Holiday
2012-06-17;Sunday;Father's Day;Observance
2012-06-21;Thursday;June Solstice;Season
2012-06-21;Thursday;Rath Yatra;Restricted Holiday
2012-08-02;Thursday;Raksha Bandhan (Rakhi);Restricted Holiday
2012-08-05;Sunday;Friendship Day;Observance
2012-08-10;Friday;Janmashtami;Gazetted Holiday
2012-08-15;Wednesday;Independence Day;Gazetted Holiday
2012-08-17;Friday;Jamat Ul-Vida;Restricted Holiday
2012-08-18;Saturday;Parsi New Year;Restricted Holiday
2012-08-20;Monday;Ramzan Id/Eid-ul-Fitar;Gazetted Holiday
2012-08-29;Wednesday;Onam;Restricted Holiday
2012-09-19;Wednesday;Ganesh Chaturthi/Vinayaka Chaturthi;Restricted Holiday
2012-09-22;Saturday;September Equinox;Season
2012-10-02;Tuesday;Mahatma Gandhi Jayanti;Gazetted Holiday
2012-10-21;Sunday;Maha Saptami;Restricted Holiday
2012-10-22;Monday;Maha Ashtami;Restricted Holiday
2012-10-24;Wednesday;Dussehra;Gazetted Holiday
2012-10-27;Saturday;Bakr Id/Eid ul-Adha;Gazetted Holiday
2012-10-29;Monday;Maharishi Valmiki Jayanti;Restricted Holiday
2012-10-31;Wednesday;Halloween;Observance
2012-11-02;Friday;Karaka Chaturthi (Karva Chauth);Restricted Holiday
2012-11-12;Monday;Naraka Chaturdasi;Restricted Holiday
2012-11-13;Tuesday;Diwali/Deepavali;Gazetted Holiday
2012-11-14;Wednesday;Govardhan Puja;Restricted Holiday
2012-11-15;Thursday;Bhai Duj;Restricted Holiday
2012-11-19;Monday;Chhat Puja (Pratihar Sashthi/Surya Sashthi);Restricted Holiday
2012-11-24;Saturday;Guru Tegh Bahadur's Martyrdom Day;Restricted Holiday
2012-11-25;Sunday;Muharram/Ashura;Gazetted Holiday
2012-11-28;Wednesday;Guru Nanak Jayanti;Gazetted Holiday
2012-12-09;Sunday;First Day of Hanukkah;Observance
2012-12-16;Sunday;Last day of Hanukkah;Observance
2012-12-21;Friday;December Solstice;Season
2012-12-24;Monday;Christmas Eve;Restricted Holiday
2012-12-25;Tuesday;Christmas;Gazetted Holiday
2012-12-31;Monday;New Year's Eve;Observance
2013-01-01;Tuesday;New Year's Day;Restricted Holiday
2013-01-13;Sunday;Makar Sankranti;Restricted Holiday
2013-01-14;Monday;Pongal;Restricted Holiday
2013-01-18;Friday;Guru Govind Singh Jayanti;Restricted Holiday
2013-01-25;Friday;Milad un-Nabi/Id-e-Milad;Gazetted Holiday
2013-01-26;Saturday;Republic Day;Gazetted Holiday
2013-02-10;Sunday;Chinese New Year;Observance
2013-02-14;Thursday;Valentine's Day;Observance
2013-02-15;Friday;Vasant Panchami;Restricted Holiday
2013-02-19;Tuesday;Shivaji Jayanti;Restricted Holiday
2013-02-23;Saturday;Maharishi Dayanand Saraswati Jayanti;Restricted Holiday
2013-02-25;Monday;Guru Ravidas Jayanti;Restricted Holiday
2013-03-10;Sunday;Maha Shivaratri/Shivaratri;Gazetted Holiday
2013-03-20;Wednesday;March Equinox;Season
2013-03-26;Tuesday;First day of Passover;Observance
2013-03-26;Tuesday;Holika Dahana;Restricted Holiday
2013-03-27;Wednesday;Holi;Gazetted Holiday
2013-03-27;Wednesday;Holi;Restricted Holiday
